thrL	[189:255](+)	['ECDH10B_0001']
rcsA	[2112999:2113623](+)	['ECDH10B_2093']
yodD	[2114017:2114245](+)	['ECDH10B_2095']
yedP	[2114542:2115358](+)	['ECDH10B_2097']
yedA	[2118570:2119491](+)	['ECDH10B_2101']
hchA	[2124866:2125718](+)	['ECDH10B_2110']
yedX	[2127987:2128401](+)	['ECDH10B_2113']
yedZ	[2129514:2130150](+)	['ECDH10B_2115']
yodA	[2130406:2131057](+)	['ECDH10B_2116']
yodB	[2131399:2131930](+)	['ECDH10B_2117']
yeeI	[2132682:2133480](+)	['ECDH10B_2119']
yeeJ	[2133942:2141046](+)	['ECDH10B_2121']
shiA	[2142674:2143991](+)	['ECDH10B_2125']
amn	[2144092:2145547](+)	['ECDH10B_2126']
yeeN	[2145889:2146606](+)	['ECDH10B_2127']
yeeP	[2159817:2160243](+)	['ECDH10B_2144']
flu	[2160570:2163690](+)	['ECDH10B_2146']
yeeR	[2163810:2165343](+)	['ECDH10B_2147']
yeeS	[2165339:2165786](+)	['ECDH10B_2148']
yeeT	[2165848:2166070](+)	['ECDH10B_2149']
yeeU	[2166143:2166512](+)	['ECDH10B_2150']
yeeV	[2166600:2166975](+)	['ECDH10B_2151']
yeeW	[2166971:2167166](+)	['ECDH10B_2152']
yoeF	[2167606:2167963](+)	['ECDH10B_2153']
sbcB	[2171787:2173215](+)	['ECDH10B_2158']
hisL	[2179027:2179078](+)	['ECDH10B_2166']
hisG	[2179223:2180123](+)	['ECDH10B_2167']
hisD	[2180128:2181433](+)	['ECDH10B_2168']
hisC	[2181429:2182500](+)	['ECDH10B_2169']
hisB	[2182499:2183567](+)	['ECDH10B_2170']
hisH	[2183566:2184157](+)	['ECDH10B_2171']
hisA	[2184156:2184894](+)	['ECDH10B_2172']
hisF	[2184875:2185652](+)	['ECDH10B_2173']
hisI	[2185645:2186257](+)	['ECDH10B_2174']
yegH	[2226933:2228517](+)	['ECDH10B_2213']
yegE	[2232297:2235615](+)	['ECDH10B_2217']
yegD	[2236705:2238058](+)	['ECDH10B_2219']
yegJ	[2240216:2240678](+)	['ECDH10B_2221']
mdtA	[2243047:2244295](+)	['ECDH10B_2226']
mdtB	[2244294:2247417](+)	['ECDH10B_2227']
mdtC	[2247417:2250495](+)	['ECDH10B_2228']
mdtD	[2250495:2251911](+)	['ECDH10B_2229']
baeS	[2251907:2253311](+)	['ECDH10B_2230']
baeR	[2253307:2254030](+)	['ECDH10B_2231']
yegP	[2254220:2254553](+)	['ECDH10B_2232']
yegQ	[2254699:2256061](+)	['ECDH10B_2233']
yegS	[2257743:2258643](+)	['ECDH10B_2238']
insE-5	[2259258:2259567](+)	['ECDH10B_2242']
insF-5	[2259563:2260430](+)	['ECDH10B_2243']
yegT	[2267850:2269128](+)	['ECDH10B_2251']
yegU	[2269124:2270129](+)	['ECDH10B_2252']
yegV	[2270125:2271091](+)	['ECDH10B_2253']
yohM	[2274946:2275771](+)	['ECDH10B_2259']
yohN	[2275989:2276328](+)	['ECDH10B_2260']
metG	[2283329:2285363](+)	['ECDH10B_2267']
yehI	[2289308:2292941](+)	['ECDH10B_2272']
yehK	[2293001:2293319](+)	['ECDH10B_2273']
yehL	[2293625:2294714](+)	['ECDH10B_2274']
yehM	[2294724:2297004](+)	['ECDH10B_2275']
yehP	[2296996:2298133](+)	['ECDH10B_2276']
yehQ	[2298129:2299974](+)	['ECDH10B_2277']
yehR	[2300254:2300716](+)	['ECDH10B_2278']
mlrA	[2303895:2304627](+)	['ECDH10B_2282']
yohO	[2304686:2304794](+)	['ECDH10B_2283']
dld	[2311214:2312930](+)	['ECDH10B_2289']
yohD	[2314830:2315409](+)	['ECDH10B_2292']
yohJ	[2319653:2320052](+)	['ECDH10B_2298']
yohK	[2320048:2320744](+)	['ECDH10B_2299']
cdd	[2320873:2321758](+)	['ECDH10B_2300']
sanA	[2321907:2322627](+)	['ECDH10B_2301']
yeiS	[2322629:2322869](+)	['ECDH10B_2302']
yeiT	[2323062:2324301](+)	['ECDH10B_2303']
yeiA	[2324294:2325530](+)	['ECDH10B_2304']
yeiG	[2332920:2333757](+)	['ECDH10B_2311']
yeiH	[2338727:2339777](+)	['ECDH10B_2315']
nfo	[2339850:2340708](+)	['ECDH10B_2316']
yeiI	[2340710:2341799](+)	['ECDH10B_2317']
yeiL	[2344365:2345025](+)	['ECDH10B_2320']
setB	[2352872:2354054](+)	['ECDH10B_2327']
yeiP	[2354459:2355032](+)	['ECDH10B_2329']
yeiQ	[2355254:2356721](+)	['ECDH10B_2330']
yeiR	[2356838:2357825](+)	['ECDH10B_2331']
yeiU	[2357863:2358577](+)	['ECDH10B_2332']
spr	[2358988:2359555](+)	['ECDH10B_2333']
rtn	[2359735:2361292](+)	['ECDH10B_2334']
yejA	[2361373:2363188](+)	['ECDH10B_2335']
yejB	[2363188:2364283](+)	['ECDH10B_2336']
yejE	[2364282:2365308](+)	['ECDH10B_2337']
yejF	[2365309:2366899](+)	['ECDH10B_2338']
yejH	[2369641:2371402](+)	['ECDH10B_2342']
rplY	[2371526:2371811](+)	['ECDH10B_2343']
yejL	[2373138:2373366](+)	['ECDH10B_2345']
yejM	[2373385:2375146](+)	['ECDH10B_2346']
narP	[2379509:2380157](+)	['ECDH10B_2350']
eco	[2392914:2393403](+)	['ECDH10B_2366']
rcsD	[2402497:2405170](+)	['ECDH10B_2374']
rcsB	[2405186:2405837](+)	['ECDH10B_2375']
atoS	[2409052:2410879](+)	['ECDH10B_2377']
atoC	[2410875:2412261](+)	['ECDH10B_2378']
atoD	[2412456:2413119](+)	['ECDH10B_2379']
atoA	[2413118:2413769](+)	['ECDH10B_2380']
atoE	[2413765:2415088](+)	['ECDH10B_2381']
atoB	[2415118:2416303](+)	['ECDH10B_2382']
ubiG	[2428576:2429299](+)	['ECDH10B_2391']
nrdA	[2433874:2436160](+)	['ECDH10B_2393']
nrdB	[2436393:2437524](+)	['ECDH10B_2394']
yfaE	[2437523:2437778](+)	['ECDH10B_2395']
yfaH	[2438696:2438903](+)	['ECDH10B_2397']
glpA	[2441656:2443285](+)	['ECDH10B_2400']
glpB	[2443274:2444534](+)	['ECDH10B_2401']
glpC	[2444530:2445721](+)	['ECDH10B_2402']
yfaD	[2445913:2446813](+)	['ECDH10B_2403']
ypaA	[2446825:2447011](+)	['ECDH10B_2404']
yfaO	[2453563:2453989](+)	['ECDH10B_2411']
arnB	[2454937:2456077](+)	['ECDH10B_2413']
arnC	[2456080:2457049](+)	['ECDH10B_2414']
arnA	[2457048:2459031](+)	['ECDH10B_2415']
yfbH	[2459027:2459918](+)	['ECDH10B_2416']
arnT	[2459917:2461570](+)	['ECDH10B_2417']
yfbW	[2461566:2461902](+)	['ECDH10B_2418']
yfbJ	[2461901:2462288](+)	['ECDH10B_2419']
elaD	[2472499:2473711](+)	['ECDH10B_2431']
yfbL	[2475646:2476618](+)	['ECDH10B_2433']
yfbM	[2476720:2477224](+)	['ECDH10B_2434']
yfbO	[2478367:2478844](+)	['ECDH10B_2436']
yfbP	[2478899:2479751](+)	['ECDH10B_2437']
yfbQ	[2497347:2498565](+)	['ECDH10B_2452']
yfbR	[2498648:2499248](+)	['ECDH10B_2453']
ackA	[2503256:2504459](+)	['ECDH10B_2458']
pta	[2504533:2506678](+)	['ECDH10B_2459']
yfcC	[2506867:2508388](+)	['ECDH10B_2460']
yfcG	[2510407:2511055](+)	['ECDH10B_2464']
folX	[2511111:2511474](+)	['ECDH10B_2465']
yfcH	[2511494:2512388](+)	['ECDH10B_2466']
flk	[2527736:2528732](+)	['ECDH10B_2483']
mnmC	[2531550:2533557](+)	['ECDH10B_2486']
yfcN	[2538392:2538944](+)	['ECDH10B_2493']
fadL	[2551086:2552433](+)	['ECDH10B_2507']
yfdF	[2552798:2553857](+)	['ECDH10B_2508']
yfdC	[2555087:2556020](+)	['ECDH10B_2510']
intS	[2556331:2557489](+)	['ECDH10B_2512']
yfdG	[2557641:2558004](+)	['ECDH10B_2513']
yfdH	[2558000:2558921](+)	['ECDH10B_2514']
yfdI	[2558917:2560249](+)	['ECDH10B_2515']
tfaS	[2560589:2560892](+)	['ECDH10B_2516']
yfdP	[2563306:2563753](+)	['ECDH10B_2522']
yfdQ	[2563818:2564643](+)	['ECDH10B_2523']
yfdR	[2564770:2565307](+)	['ECDH10B_2524']
yfdS	[2565297:2565660](+)	['ECDH10B_2525']
yfdT	[2565659:2565965](+)	['ECDH10B_2526']
ypdJ	[2565880:2566021](+)	['ECDH10B_2527']
torI	[2566096:2566297](+)	['ECDH10B_2528']
dsdX	[2567633:2568971](+)	['ECDH10B_2530']
dsdA	[2568988:2570317](+)	['ECDH10B_2531']
evgA	[2573541:2574156](+)	['ECDH10B_2534']
ypdI	[2584484:2584760](+)	['ECDH10B_2541']
lpxP	[2585431:2586352](+)	['ECDH10B_2543']
ypdA	[2588457:2590155](+)	['ECDH10B_2545']
ypdB	[2590169:2590904](+)	['ECDH10B_2546']
ypdC	[2590916:2591774](+)	['ECDH10B_2547']
yfeO	[2599416:2600673](+)	['ECDH10B_2554']
ypeC	[2600787:2601114](+)	['ECDH10B_2555']
nupC	[2602828:2604031](+)	['ECDH10B_2557']
insL-3	[2604117:2605230](+)	['ECDH10B_2558']
yfeC	[2608253:2608598](+)	['ECDH10B_2562']
yfeD	[2608599:2608992](+)	['ECDH10B_2563']
yfeN	[2614913:2615678](+)	['ECDH10B_2572']
yfeH	[2616732:2617731](+)	['ECDH10B_2574']
cysZ	[2621249:2622011](+)	['ECDH10B_2578']
cysK	[2622195:2623167](+)	['ECDH10B_2579']
ptsH	[2623550:2623808](+)	['ECDH10B_2580']
ptsI	[2623852:2625580](+)	['ECDH10B_2581']
crr	[2625620:2626130](+)	['ECDH10B_2582']
yfeK	[2627128:2627503](+)	['ECDH10B_2584']
yfeS	[2627535:2628270](+)	['ECDH10B_2585']
yfeU	[2635559:2636456](+)	['ECDH10B_2593']
murP	[2636459:2637884](+)	['ECDH10B_2594']
yfeW	[2637888:2639193](+)	['ECDH10B_2595']
amiA	[2642138:2643008](+)	['ECDH10B_2600']
hemF	[2643011:2643911](+)	['ECDH10B_2601']
intZ	[2648557:2649853](+)	['ECDH10B_2607']
yffL	[2650043:2650685](+)	['ECDH10B_2608']
yffM	[2651154:2651400](+)	['ECDH10B_2609']
yffN	[2651396:2651780](+)	['ECDH10B_2610']
yffO	[2651897:2652314](+)	['ECDH10B_2611']
yffP	[2652310:2652904](+)	['ECDH10B_2612']
yffQ	[2653363:2653756](+)	['ECDH10B_2613']
yffR	[2653766:2654159](+)	['ECDH10B_2614']
yffS	[2654279:2655119](+)	['ECDH10B_2615']
talA	[2668452:2669403](+)	['ECDH10B_2629']
tktB	[2669422:2671426](+)	['ECDH10B_2630']
narQ	[2675517:2677218](+)	['ECDH10B_2634']
acrD	[2677381:2680495](+)	['ECDH10B_2635']
yffB	[2681033:2681390](+)	['ECDH10B_2636']
dapE	[2681393:2682521](+)	['ECDH10B_2637']
ypfN	[2682548:2682749](+)	['ECDH10B_2638']
gcvR	[2689692:2690265](+)	['ECDH10B_2645']
bcp	[2690264:2690735](+)	['ECDH10B_2646']
hyfA	[2690987:2691605](+)	['ECDH10B_2647']
hyfB	[2691604:2693623](+)	['ECDH10B_2648']
hyfC	[2693633:2694581](+)	['ECDH10B_2649']
hyfD	[2694597:2696037](+)	['ECDH10B_2650']
hyfE	[2696048:2696699](+)	['ECDH10B_2651']
hyfF	[2696703:2698284](+)	['ECDH10B_2652']
hyfG	[2698273:2699941](+)	['ECDH10B_2653']
hyfH	[2699950:2700496](+)	['ECDH10B_2654']
hyfI	[2700492:2701251](+)	['ECDH10B_2655']
hyfJ	[2701243:2701657](+)	['ECDH10B_2656']
hyfR	[2701686:2703699](+)	['ECDH10B_2657']
focB	[2703720:2704569](+)	['ECDH10B_2658']
yfgC	[2705880:2707344](+)	['ECDH10B_2660']
yfgD	[2707364:2707724](+)	['ECDH10B_2661']
purM	[2710983:2712021](+)	['ECDH10B_2665']
purN	[2712020:2712659](+)	['ECDH10B_2666']
ppk	[2712830:2714897](+)	['ECDH10B_2667']
ppx	[2714901:2716443](+)	['ECDH10B_2668']
yfgG	[2719076:2719268](+)	['ECDH10B_2670']
yfgH	[2719578:2720097](+)	['ECDH10B_2671']
yfgI	[2720112:2720652](+)	['ECDH10B_2672']
xseA	[2724018:2725389](+)	['ECDH10B_2675']
sseA	[2742280:2743126](+)	['ECDH10B_2687']
suhB	[2753228:2754032](+)	['ECDH10B_2700']
yfhR	[2754149:2755031](+)	['ECDH10B_2701']
csiE	[2755221:2756502](+)	['ECDH10B_2702']
hcaE	[2758818:2760180](+)	['ECDH10B_2705']
hcaF	[2760176:2760695](+)	['ECDH10B_2706']
hcaC	[2760694:2761015](+)	['ECDH10B_2707']
hcaB	[2761011:2761824](+)	['ECDH10B_2708']
hcaD	[2761833:2763036](+)	['ECDH10B_2709']
yphA	[2763060:2763555](+)	['ECDH10B_2710']
yphH	[2772649:2773843](+)	['ECDH10B_2717']
hmp	[2775621:2776812](+)	['ECDH10B_2719']
yfhD	[2785725:2787144](+)	['ECDH10B_2726']
yfhH	[2788545:2789394](+)	['ECDH10B_2729']
yfhL	[2789449:2789710](+)	['ECDH10B_2730']
nadB	[2800206:2801829](+)	['ECDH10B_2742']
srmB	[2802682:2804017](+)	['ECDH10B_2744']
yfiK	[2805209:2805797](+)	['ECDH10B_2746']
ung	[2806540:2807230](+)	['ECDH10B_2748']
trxC	[2808521:2808941](+)	['ECDH10B_2750']
yfiP	[2809009:2809708](+)	['ECDH10B_2751']
yfiQ	[2809739:2812400](+)	['ECDH10B_2752']
pssA	[2812513:2813869](+)	['ECDH10B_2753']
yfiM	[2813965:2814238](+)	['ECDH10B_2754']
yfiO	[2825932:2826670](+)	['ECDH10B_2763']
yfiA	[2826940:2827282](+)	['ECDH10B_2764']
pheL	[2827385:2827433](+)	['ECDH10B_2765']
pheA	[2827531:2828692](+)	['ECDH10B_2766']
yfiL	[2831146:2831512](+)	['ECDH10B_2769']
yfiR	[2831661:2832180](+)	['ECDH10B_2770']
yfiN	[2832169:2833396](+)	['ECDH10B_2771']
yfiB	[2833411:2833894](+)	['ECDH10B_2772']
yfjD	[2838560:2839847](+)	['ECDH10B_2779']
yfjB	[2840617:2841496](+)	['ECDH10B_2781']
recN	[2841581:2843243](+)	['ECDH10B_2782']
smpA	[2843391:2843733](+)	['ECDH10B_2783']
smpB	[2844682:2845165](+)	['ECDH10B_2786']
alpA	[2848430:2848643](+)	['ECDH10B_2790']
yfjI	[2848771:2850181](+)	['ECDH10B_2791']
yfjJ	[2850333:2850960](+)	['ECDH10B_2792']
yfjN	[2855704:2856778](+)	['ECDH10B_2796']
yfjO	[2856770:2857142](+)	['ECDH10B_2797']
yfjP	[2857496:2858360](+)	['ECDH10B_2798']
yfjQ	[2858451:2859273](+)	['ECDH10B_2799']
yfjR	[2859489:2860191](+)	['ECDH10B_2800']
ypjK	[2860231:2860468](+)	['ECDH10B_2801']
yfjS	[2860467:2860911](+)	['ECDH10B_2802']
yfjT	[2860934:2861402](+)	['ECDH10B_2803']
yfjW	[2863104:2864808](+)	['ECDH10B_2809']
yfjX	[2865705:2866164](+)	['ECDH10B_2810']
yfjY	[2866172:2866655](+)	['ECDH10B_2811']
ypjJ	[2866663:2866864](+)	['ECDH10B_2812']
yfjZ	[2866901:2867219](+)	['ECDH10B_2813']
ypjF	[2867239:2867569](+)	['ECDH10B_2814']
ygaQ	[2876183:2878436](+)	['ECDH10B_2825']
ygaT	[2878771:2879749](+)	['ECDH10B_2826']
ygaF	[2879768:2881037](+)	['ECDH10B_2827']
gabT	[2882521:2883802](+)	['ECDH10B_2829']
gabP	[2884039:2885440](+)	['ECDH10B_2830']
csiR	[2885460:2886123](+)	['ECDH10B_2831']
ygaV	[2886997:2887297](+)	['ECDH10B_2834']
ygaP	[2887306:2887831](+)	['ECDH10B_2835']
ygaW	[2888950:2889400](+)	['ECDH10B_2837']
nrdH	[2890509:2890755](+)	['ECDH10B_2840']
nrdI	[2890751:2891162](+)	['ECDH10B_2841']
nrdE	[2891134:2893279](+)	['ECDH10B_2842']
nrdF	[2893288:2894248](+)	['ECDH10B_2843']
proW	[2896573:2897638](+)	['ECDH10B_2844']
proX	[2897695:2898688](+)	['ECDH10B_2845']
ygaY	[2898879:2900057](+)	['ECDH10B_2848']
ygaZ	[2900180:2900918](+)	['ECDH10B_2849']
ygaH	[2900907:2901243](+)	['ECDH10B_2850']
emrA	[2901990:2903163](+)	['ECDH10B_2852']
emrB	[2903179:2904718](+)	['ECDH10B_2853']
srlA	[2916395:2916959](+)	['ECDH10B_2870']
srlE	[2916955:2917915](+)	['ECDH10B_2871']
srlB	[2917925:2918297](+)	['ECDH10B_2872']
srlD	[2918300:2919080](+)	['ECDH10B_2873']
gutM	[2919184:2919544](+)	['ECDH10B_2874']
srlR	[2919610:2920384](+)	['ECDH10B_2875']
gutQ	[2920376:2921342](+)	['ECDH10B_2876']
norV	[2923039:2924479](+)	['ECDH10B_2878']
norW	[2924475:2925609](+)	['ECDH10B_2879']
ascF	[2930087:2931545](+)	['ECDH10B_2883']
ascB	[2931553:2932978](+)	['ECDH10B_2884']
hypA	[2941210:2941561](+)	['ECDH10B_2894']
hypB	[2941564:2942437](+)	['ECDH10B_2895']
hypC	[2942427:2942700](+)	['ECDH10B_2896']
hypD	[2942699:2943821](+)	['ECDH10B_2897']
hypE	[2943859:2944828](+)	['ECDH10B_2898']
fhlA	[2944901:2946980](+)	['ECDH10B_2899']
mutS	[2947656:2950218](+)	['ECDH10B_2901']
pphB	[2950323:2950980](+)	['ECDH10B_2902']
ygbJ	[2951993:2952902](+)	['ECDH10B_2904']
ygbK	[2952898:2954065](+)	['ECDH10B_2905']
ygbM	[2954799:2955576](+)	['ECDH10B_2907']
ygbN	[2955664:2957029](+)	['ECDH10B_2908']
iap	[2967144:2968182](+)	['ECDH10B_2921']
sscR	[2982777:2983143](+)	['ECDH10B_2933']
ygcN	[2983220:2984492](+)	['ECDH10B_2934']
ygcO	[2984482:2984743](+)	['ECDH10B_2935']
ygcP	[2984759:2985335](+)	['ECDH10B_2936']
yqcE	[2991155:2992433](+)	['ECDH10B_2942']
ygcE	[2992459:2993938](+)	['ECDH10B_2943']
ygcG	[2996274:2997147](+)	['ECDH10B_2945']
barA	[3006956:3009713](+)	['ECDH10B_2954']
queF	[3017247:3018096](+)	['ECDH10B_2963']
ygdH	[3018207:3019572](+)	['ECDH10B_2964']
sdaC	[3020128:3021418](+)	['ECDH10B_2965']
sdaB	[3021475:3022843](+)	['ECDH10B_2966']
ygdG	[3022864:3023710](+)	['ECDH10B_2967']
fucP	[3026134:3027451](+)	['ECDH10B_2970']
fucI	[3027483:3029259](+)	['ECDH10B_2971']
fucK	[3029337:3030786](+)	['ECDH10B_2972']
fucU	[3030787:3031210](+)	['ECDH10B_2973']
fucR	[3031267:3031999](+)	['ECDH10B_2974']
csdA	[3035228:3036434](+)	['ECDH10B_2980']
ygdK	[3036433:3036877](+)	['ECDH10B_2981']
argA	[3041133:3042465](+)	['ECDH10B_2988']
mutH	[3061553:3062243](+)	['ECDH10B_3001']
ygdQ	[3062311:3063025](+)	['ECDH10B_3002']
ygdR	[3063162:3063381](+)	['ECDH10B_3003']
tas	[3063488:3064529](+)	['ECDH10B_3004']
galR	[3068490:3069522](+)	['ECDH10B_3009']
lysR	[3070912:3071848](+)	['ECDH10B_3011']
yqeG	[3077738:3078968](+)	['ECDH10B_3017']
yqeH	[3079427:3080060](+)	['ECDH10B_3018']
yqeI	[3080393:3081203](+)	['ECDH10B_3019']
yqeJ	[3081195:3081678](+)	['ECDH10B_3020']
ygeF	[3082445:3082892](+)	['ECDH10B_3022']
ygeG	[3083159:3083651](+)	['ECDH10B_3023']
ygeH	[3083985:3085362](+)	['ECDH10B_3024']
ygeI	[3085529:3085748](+)	['ECDH10B_3025']
pbl	[3085932:3086307](+)	['ECDH10B_3026']
xdhA	[3092236:3094495](+)	['ECDH10B_3041']
xdhB	[3094505:3095384](+)	['ECDH10B_3042']
xdhC	[3095380:3095860](+)	['ECDH10B_3043']
ygeW	[3098153:3099344](+)	['ECDH10B_3045']
ygeX	[3099401:3100598](+)	['ECDH10B_3046']
ygeY	[3100655:3101867](+)	['ECDH10B_3047']
hyuA	[3101919:3103305](+)	['ECDH10B_3048']
yqeA	[3103352:3104285](+)	['ECDH10B_3049']
ygfJ	[3107051:3107630](+)	['ECDH10B_3052']
ygfK	[3107951:3111050](+)	['ECDH10B_3053']
ssnA	[3111052:3112381](+)	['ECDH10B_3054']
ygfM	[3112431:3113211](+)	['ECDH10B_3055']
xdhD	[3113207:3116078](+)	['ECDH10B_3056']
ygfO	[3116242:3117643](+)	['ECDH10B_3057']
guaD	[3117657:3118977](+)	['ECDH10B_3058']
ygfQ	[3119012:3120380](+)	['ECDH10B_3059']
ygfU	[3123258:3124707](+)	['ECDH10B_3062']
idi	[3124956:3125505](+)	['ECDH10B_3063']
fldB	[3131746:3132268](+)	['ECDH10B_3069']
ygfZ	[3133204:3134185](+)	['ECDH10B_3072']
bglA	[3135553:3136993](+)	['ECDH10B_3075']
zapA	[3147503:3147833](+)	['ECDH10B_3084']
ygfA	[3148132:3148681](+)	['ECDH10B_3086']
argP	[3151644:3152538](+)	['ECDH10B_3091']
argK	[3154878:3155874](+)	['ECDH10B_3093']
ygfG	[3155884:3156670](+)	['ECDH10B_3094']
yggG	[3175003:3175762](+)	['ECDH10B_3111']
yqgC	[3179277:3179493](+)	['ECDH10B_3115']
metK	[3179796:3180951](+)	['ECDH10B_3117']
sprT	[3182845:3183343](+)	['ECDH10B_3119']
yggJ	[3184224:3184956](+)	['ECDH10B_3121']
gshB	[3184968:3185919](+)	['ECDH10B_3122']
yqgE	[3186027:3186591](+)	['ECDH10B_3123']
yqgF	[3186590:3187007](+)	['ECDH10B_3124']
yggS	[3188188:3188893](+)	['ECDH10B_3126']
yggT	[3188910:3189477](+)	['ECDH10B_3127']
yggU	[3189473:3189764](+)	['ECDH10B_3128']
yggV	[3189771:3190365](+)	['ECDH10B_3129']
yggW	[3190357:3191494](+)	['ECDH10B_3130']
mutY	[3196103:3197156](+)	['ECDH10B_3136']
yggX	[3197183:3197459](+)	['ECDH10B_3137']
mltC	[3197523:3198603](+)	['ECDH10B_3138']
pppA	[3203944:3204754](+)	['ECDH10B_3141']
yghG	[3204819:3205230](+)	['ECDH10B_3142']
yghF	[3205376:3206243](+)	['ECDH10B_3143']
yghE	[3206308:3207169](+)	['ECDH10B_3144']
yghD	[3207170:3207707](+)	['ECDH10B_3145']
speC	[3209141:3211277](+)	['ECDH10B_3148']
glcC	[3224038:3224803](+)	['ECDH10B_3157']
insH-9	[3225944:3226961](+)	['ECDH10B_3159']
yghT	[3229897:3230590](+)	['ECDH10B_3163']
yghU	[3234493:3235360](+)	['ECDH10B_3166']
yghZ	[3243663:3244704](+)	['ECDH10B_3178']
yghA	[3245428:3246313](+)	['ECDH10B_3180']
metC	[3248002:3249190](+)	['ECDH10B_3183']
yghB	[3249329:3249989](+)	['ECDH10B_3184']
yqhD	[3251121:3252285](+)	['ECDH10B_3186']
dkgA	[3252389:3253217](+)	['ECDH10B_3187']
yqhG	[3253416:3254343](+)	['ECDH10B_3188']
yqhH	[3254393:3254651](+)	['ECDH10B_3189']
qseB	[3265594:3266254](+)	['ECDH10B_3199']
qseC	[3266250:3267600](+)	['ECDH10B_3200']
mdaB	[3268296:3268878](+)	['ECDH10B_3202']
ygiN	[3268908:3269223](+)	['ECDH10B_3203']
tolC	[3273881:3275363](+)	['ECDH10B_3209']
ygiA	[3275362:3275623](+)	['ECDH10B_3210']
ygiB	[3275606:3276182](+)	['ECDH10B_3211']
ygiC	[3276187:3277348](+)	['ECDH10B_3212']
zupT	[3278316:3279090](+)	['ECDH10B_3214']
yqiC	[3280606:3280897](+)	['ECDH10B_3216']
ygiL	[3281180:3281732](+)	['ECDH10B_3217']
insC-5	[3281908:3282319](+)	['ECDH10B_3218']
insD-5	[3282276:3283182](+)	['ECDH10B_3219']
yqiG	[3283166:3285632](+)	['ECDH10B_3220']
yqiH	[3285647:3286397](+)	['ECDH10B_3221']
yqiI	[3286398:3287463](+)	['ECDH10B_3222']
yqiJ	[3287974:3288604](+)	['ECDH10B_3224']
yqiK	[3288630:3290292](+)	['ECDH10B_3225']
htrG	[3296973:3297594](+)	['ECDH10B_3230']
cca	[3297657:3298896](+)	['ECDH10B_3231']
ygiH	[3300460:3301078](+)	['ECDH10B_3234']
ttdA	[3302229:3303141](+)	['ECDH10B_3236']
ttdB	[3303137:3303743](+)	['ECDH10B_3237']
ygjE	[3303790:3305254](+)	['ECDH10B_3238']
rpsU	[3306547:3306763](+)	['ECDH10B_3240']
dnaG	[3306873:3308619](+)	['ECDH10B_3241']
rpoD	[3308813:3310655](+)	['ECDH10B_3242']
yqjI	[3312545:3313169](+)	['ECDH10B_3246']
ygjG	[3315233:3316640](+)	['ECDH10B_3248']
ebgR	[3317232:3318216](+)	['ECDH10B_3250']
ebgA	[3318399:3321492](+)	['ECDH10B_3251']
ebgC	[3321488:3321938](+)	['ECDH10B_3252']
ygjI	[3322000:3323434](+)	['ECDH10B_3253']
ygjJ	[3323567:3324638](+)	['ECDH10B_3254']
ygjK	[3324654:3327006](+)	['ECDH10B_3255']
fadH	[3327431:3329450](+)	['ECDH10B_3256']
ygjP	[3331726:3332230](+)	['ECDH10B_3260']
ygjQ	[3332306:3332999](+)	['ECDH10B_3261']
ygjR	[3333059:3334064](+)	['ECDH10B_3262']
alx	[3334346:3335312](+)	['ECDH10B_3264']
sstT	[3335710:3336955](+)	['ECDH10B_3265']
exuT	[3340870:3342289](+)	['ECDH10B_3269']
exuR	[3342418:3343195](+)	['ECDH10B_3270']
yqjA	[3343539:3344202](+)	['ECDH10B_3271']
yqjB	[3344205:3344589](+)	['ECDH10B_3272']
yqjC	[3344735:3345104](+)	['ECDH10B_3273']
yqjD	[3345141:3345447](+)	['ECDH10B_3274']
yqjE	[3345449:3345854](+)	['ECDH10B_3275']
yqjK	[3345843:3346143](+)	['ECDH10B_3276']
yqjF	[3346328:3346721](+)	['ECDH10B_3277']
yqjG	[3346790:3347777](+)	['ECDH10B_3278']
yhaH	[3348070:3348436](+)	['ECDH10B_3279']
yhaI	[3348677:3349034](+)	['ECDH10B_3280']
yhaK	[3350085:3350787](+)	['ECDH10B_3282']
yhaL	[3350809:3350974](+)	['ECDH10B_3283']
tdcR	[3363146:3363365](+)	['ECDH10B_3293']
yhaB	[3363620:3364160](+)	['ECDH10B_3294']
yhaC	[3364181:3365369](+)	['ECDH10B_3295']
garD	[3371048:3372620](+)	['ECDH10B_3301']
sohA	[3372768:3373104](+)	['ECDH10B_3302']
yhaV	[3373103:3373568](+)	['ECDH10B_3303']
kbaZ	[3374680:3375961](+)	['ECDH10B_3305']
agaV	[3375983:3376457](+)	['ECDH10B_3306']
agaW	[3376467:3376869](+)	['ECDH10B_3307']
agaA	[3376888:3377392](+)	['ECDH10B_3308']
agaS	[3377742:3378897](+)	['ECDH10B_3309']
kbaY	[3378909:3379770](+)	['ECDH10B_3310']
agaB	[3379936:3380413](+)	['ECDH10B_3311']
agaC	[3380451:3381255](+)	['ECDH10B_3312']
agaD	[3381244:3382036](+)	['ECDH10B_3313']
agaI	[3382036:3382792](+)	['ECDH10B_3314']
yraH	[3383192:3383777](+)	['ECDH10B_3315']
yraI	[3383856:3384552](+)	['ECDH10B_3316']
yraJ	[3384580:3387097](+)	['ECDH10B_3317']
yraK	[3387107:3388199](+)	['ECDH10B_3318']
yraM	[3389166:3391203](+)	['ECDH10B_3320']
yraN	[3391160:3391556](+)	['ECDH10B_3321']
